id,name,address,square_feet,PSU,EUI,city,country,state,yearBuilt,grossFloorArea,numberOfBuildings,occupancyPercentage,primaryFunction,propGrossFloorArea,referencePropertyTypeMedian,systemDefinedPropertyType,annual_electricity_use,annual_energy_cost,annual_ghg_emissions,annual_natural_gas_use,cost_per_square_foot,gas_percent_of_energy_cost,latitude,longitude
201,DC Mental Health Center,35 K STREET NE,29916.00,Office,55.00,Washington,US,DC,2002,30000,0.00,100.00,Other - Public Services,30000.00,CBECS - Other,Other,484284.67,"$56,661.31",286.94,0.00,$1.89,,,
202,Blair Shelter,635 I STREET NE,15574.00,Other - Lodging/Residential,143.00,,,,,,,,,,,,141696.79,"$33,495.01",176.04,17368.06,$2.15,50.5%,38.90,-77.00
203,Randall Recreation Center,820 SOUTH CAPITOL STREET SW,11651.00,Other - Recreation,235.00,,,,,,,,,,,,480375.35,"$66,855.84",342.61,10936.27,$5.74,15.93%,,
204,Engine Company #7,1101 HALF STREET SW,36562.00,Fire Station,205.00,Washington,US,DC,1000,60000,1.00,100.00,Other - Public Services,60000.00,CBECS - Fire Station/Police Station,Fire Station,871880.62,"$145,838.40",755.17,44998.32,$3.99,30.05%,,
205,United Way Building (DMV),95 M STREET SW,62205.00,Office,55.00,,,,,,,,,,,,877837.75,"$107,022.44",543.61,4430.62,$1.72,4.03%,38.88,-77.01
206,SW Inspection Station,1001 HALF STREET SW,35033.00,Other - Public Services,75.00,Washington,US,DC,1962,350000,1.00,100.00,Other - Public Services,350000.00,CBECS - Other,Other,562862.20,"$72,787.91",371.24,7118.10,$2.08,9.52%,,
207,SWMA Solid Waste Collection/Recycle - Outdoor Lights,2860 SOUTH CAPITOL STREET SE,3267.00,Other - Public Services,209.00,,,,,,,,,,,,119703.62,"$16,689.17",85.53,2755.49,$5.11,16.08%,,
208,Unified Communications Center,2720 MARTIN LUTHER KING JR AVENUE SE,149285.00,Other - Technology/Science,166.00,Washington,US,DC,2006,149285,1.00,100.00,Other,149285.00,CBECS - Other,Other,5741499.93,"$722,769.06",3679.53,52375.33,$4.84,7.06%,,
209,Amidon-Bowen Elementary School,401 I STREET SW,70800.00,K-12 School,72.00,Washington,US,DC,1964,70800,0.00,100.00,K-12 School,71900.00,CBECS - Elementary/Middle & High School,K-12 School,852648.37,"$121,349.47",622.72,22165.92,$1.71,17.79%,38.88,-77.02
21,Ballou High & Ballou STAY High School,3401 4TH STREET SE,356000.00,K-12 School,69.00,Washington,US,DC,2014,356000,1.00,100.00,K-12 School,356000.00,CBECS - Elementary/Middle & High School,K-12 School,3503755.69,"$532,648.07",2743.94,125984.24,$1.50,23.04%,38.84,-77.00
210,Jefferson Middle School,801 7TH STREET SW,109000.00,K-12 School,85.00,Washington,US,DC,1940,109000,1.00,100.00,K-12 School,109000.00,CBECS - Elementary/Middle & High School,K-12 School,900419.64,"$165,719.53",862.13,61981.96,$1.52,36.43%,38.88,-77.02
211,Engine Company #13,450 6TH STREET SW,12945.00,Fire Station,79.00,Washington,US,DC,1960,12945,1.00,100.00,Other - Public Services,12945.00,CBECS - Fire Station/Police Station,Fire Station,299576.49,"$35,069.11",177.60,19.16,$2.71,0.05%,38.88,-77.02
212,Thomson Elementary School,1200 L STREET NW,40950.00,K-12 School,165.00,Washington,US,DC,1910,125000,0.00,100.00,K-12 School,125000.00,CBECS - Elementary/Middle & High School,K-12 School,1445812.61,"$187,053.47",954.05,18371.04,$4.57,9.57%,,
213,2nd District Headquarters,3320 IDAHO AVENUE NW,43992.00,Police Station,116.00,Washington,US,DC,1000,43992,1.00,100.00,Police Station,43992.00,CBECS - Fire Station/Police Station,Police Station,1064888.08,"$138,905.21",708.86,14695.38,$3.16,10.3%,38.93,-77.07
214,Tenley-Friendship Library,4450 WISCONSIN AVENUE NW,21472.00,Library,87.00,Washington,US,DC,2011,21472,1.00,100.00,Library,21472.00,CBECS - Library,Library,404043.86,"$52,013.26",265.20,4866.66,$2.42,9.11%,,
215,Rose Park Playground,2609 DUMBARTON STREET NW,,Other - Recreation,,,,,,,,,,,,,14815.91,"$1,733.46",8.78,0.00,,,38.91,-77.06
216,Frank R Jelleff Branch (Boys/Girls Club),3265 S STREET NW,,Social/Meeting Hall,,,,,,,,,,,,,147118.86,"$28,494.20",148.58,11582.44,,39.59%,,
217,Wilson Building,1350 PENNSYLVANIA AVENUE NW,328760.00,Office,62.00,Washington,US,DC,1904,328760,1.00,100.00,Office,328760.00,CBECS - Office & Bank/Financial,Office,6013979.13,"$703,635.56",3563.28,0.00,$2.14,,38.89,-77.03
218,Youth Services Administration #1,1860 KENDALL STREET NE,,Social/Meeting Hall,,Washington,US,DC,1000,31346,1.00,100.00,Office,18378.20,CBECS - Office & Bank/Financial,Office,10091.51,"$3,169.27",16.80,2041.65,,62.75%,,
219,House of Ruth Shelter,651 10TH STREET NE,18340.00,Other - Lodging/Residential,105.00,Washington,US,DC,1900,18340,0.00,100.00,Other - Lodging/Residential,18340.00,CBECS - Lodging,Other - Lodging/Residential,204329.83,"$35,848.81",186.07,12261.01,$1.95,33.31%,,
22,River Terrace Education Campus,405 ANACOSTIA AVENUE NE,62800.00,K-12 School,98.00,Washington,US,DC,2014,62800,1.00,100.00,Other - Education,62800.00,CBECS - Elementary/Middle & High School,K-12 School,1161936.43,"$157,196.77",804.12,21817.46,$2.50,13.52%,38.90,-76.96
220,Hardy Middle School,1819 35TH STREET NW,116872.00,K-12 School,81.00,Washington,US,DC,1931,116872,1.00,100.00,K-12 School,116872.00,CBECS - Elementary/Middle & High School,K-12 School,1481458.14,"$216,047.95",1110.30,43857.65,$1.85,19.77%,,
221,Georgetown Recreation Center,1555 34TH STREET NW,5013.00,Other - Recreation,116.00,,,,,,,,,,,,104474.00,"$14,412.04",73.81,2247.00,$2.87,15.19%,,
222,Eliot-Hine Middle School,1830 CONSTITUTION AVENUE NE,155100.00,K-12 School,42.00,Washington,US,DC,1931,155100,1.00,100.00,K-12 School,155100.00,CBECS - Elementary/Middle & High School,K-12 School,1287392.56,"$171,173.03",874.63,21096.61,$1.10,12.0%,38.89,-76.98
223,Engine Company #11,3420 14TH STREET NW,24875.00,Fire Station,73.00,Washington,US,DC,1984,24875,1.00,100.00,Other - Public Services,24875.00,CBECS - Fire Station/Police Station,Fire Station,221213.86,"$36,270.42",187.62,10665.71,$1.46,28.64%,,
224,Mt. Pleasant Library,3160 16TH STREET NW,16576.00,Library,149.00,Washington,US,DC,1932,16576,1.00,100.00,Library,16576.00,CBECS - Library,Library,480137.04,"$64,316.56",328.79,8357.83,$3.88,12.66%,,
225,New La Casa Permanent Supportive Housing For Men,1444 IRVING STREET NW,29192.00,Urgent Care Center/Clinic/Other Outpatient Office,73.00,Washington,US,DC,2014,29752,0.00,0.00,Other - Public Services,29752.00,CBECS - Lodging,Other - Lodging/Residential,436838.86,"$57,233.86",292.16,6287.18,$1.96,10.7%,,
226,4th District Substation,750 PARK ROAD NW,14125.00,Police Station,139.00,Washington,US,DC,1000,14125,1.00,100.00,Other - Public Services,14125.00,CBECS - Fire Station/Police Station,Police Station,183526.72,"$34,421.62",179.23,13294.65,$2.44,37.62%,38.93,-77.03
227,Shepherd Elementary School,7800 14TH STREET NW,79700.00,K-12 School,71.00,Washington,US,DC,1932,79700,1.00,100.00,K-12 School,79700.00,CBECS - Elementary/Middle & High School,K-12 School,993390.00,"$137,928.13",706.72,22280.80,$1.73,15.73%,,
228,Dakota Playground,3100 ADAMS STREET NE,,Other - Recreation,,,,,,,,,,,,,21944.58,"$2,567.52",13.00,0.00,,,,
229,Brentwood Recreation Center,2311 14TH STREET NE,4589.00,Other - Recreation,176.00,,,,,,,,,,,,237151.52,"$27,746.73",140.51,0.00,$6.05,,38.92,-76.98
23,6th District Headquarters,100 42ND STREET NE,51176.00,Police Station,60.00,Washington,US,DC,1000,51176,1.00,100.00,Other - Public Services,51176.00,CBECS - Fire Station/Police Station,Police Station,580908.05,"$78,699.66",402.62,11019.94,$1.54,13.64%,38.89,-76.94
230,Turkey Thicket Recreation Center,1100 MICHIGAN AVENUE NE,36744.00,Other - Recreation,202.00,Washington,US,DC,2004,36744,1.00,100.00,Other - Recreation,36744.00,CBECS - Recreation,Other - Recreation,1035021.69,"$159,133.15",820.30,39050.94,$4.33,23.9%,,
231,Lamont Riggs Library,5401 SOUTH DAKOTA AVENUE NE,17927.00,Library,92.00,Washington,US,DC,1000,17927,1.00,100.00,Library,17927.00,CBECS - Library,Library,278752.85,"$39,376.15",201.97,6942.57,$2.20,17.17%,,
232,Plummer Elementary School,4601 TEXAS AVENUE SE,69400.00,K-12 School,44.00,Washington,US,DC,1959,69400,1.00,100.00,K-12 School,69400.00,CBECS - Elementary/Middle & High School,K-12 School,885208.30,"$103,569.37",524.49,0.00,$1.49,,,
233,Evans Middle School,5600 EAST CAPITOL STREET NE,125800.00,K-12 School,48.00,Washington,US,DC,1000,125800,1.00,100.00,K-12 School,125800.00,CBECS - Elementary/Middle & High School,K-12 School,329923.00,"$86,826.65",458.00,49513.00,$0.69,55.54%,,
234,Ronald H Brown Middle School,4800 MEADE STREET NE,156000.00,K-12 School,18.00,Washington,US,DC,1000,156000,1.00,0.00,K-12 School,156000.00,CBECS - Elementary/Middle & High School,K-12 School,820714.37,"$96,023.58",486.27,0.00,$0.62,,38.91,-76.93
235,6th District Substation,2701 PENNSYLVANIA AVENUE SE,9226.00,Police Station,99.00,,,,,,,,,,,,157852.67,"$22,073.04",113.15,3700.49,$2.39,16.33%,38.87,-76.97
236,Capital View Library,5001 CENTRAL AVENUE SE,25000.00,Library,34.00,,,,,,,,,,,,131537.27,"$19,393.27",99.73,4110.28,$0.78,20.64%,38.89,-76.93
237,Miner Elementary School,601 15TH STREET NE,76900.00,K-12 School,44.00,Washington,US,DC,2003,76900,1.00,100.00,K-12 School,76900.00,CBECS - Elementary/Middle & High School,K-12 School,505422.79,"$75,064.81",386.18,16355.59,$0.98,21.22%,38.90,-76.98
238,Engine Company #25,3203 MARTIN LUTHER KING JR AVENUE SE,9184.00,Fire Station,100.00,Washington,US,DC,1912,10248,1.00,100.00,Other - Public Services,10248.00,CBECS - Other,Other - Public Services,141645.35,"$20,779.22",106.82,4319.01,$2.26,20.24%,,
239,Engine Company #32,2425 IRVING STREET SE,9816.00,Fire Station,137.00,,,,,,,,,,,,193838.94,"$29,344.10",151.13,6842.86,$2.99,22.71%,,
24,Kenilworth Recreation Center,1300 44TH STREET NE,57100.00,K-12 School,41.00,Washington,US,DC,2015,57100,1.00,100.00,Other - Recreation,57100.00,CBECS - Elementary/Middle & High School,K-12 School,581881.14,"$71,409.15",362.89,3417.92,$1.25,4.66%,38.91,-76.94
240,Engine Company #14,4801 NORTH CAPITOL STREET NE,13505.00,Fire Station,72.00,,,,,,,,,,,,285026.80,"$33,348.14",168.88,0.00,$2.47,,,
241,Washington Humane Society,1201 NEW YORK AVENUE NE,6400.00,Office,384.00,,,,,,,,,,,,315501.93,"$50,380.46",260.24,13826.22,$7.87,26.73%,,
242,Marvin Gaye Recreation Center,6201 BANKS PLACE NE,1977.00,Other - Recreation,130.00,,,,,,,,,,,,36192.00,"$5,543.52",28.57,1344.00,$2.80,23.61%,,
243,Crime Scene Examination Section,3521 V STREET NE,42470.00,Police Station,22.00,,,,,,,,,,,,274371.00,"$32,101.41",162.56,0.00,$0.76,,,
244,Francis A Gregory Neighborhood Library,3660 ALABAMA AVENUE SE,22500.00,Library,84.00,,,,,,,,,,,,339973.56,"$46,956.73",240.52,7371.48,$2.09,15.29%,,
245,4th District Headquarters,6001 GEORGIA AVENUE NW,47439.00,Police Station,118.00,Washington,US,DC,1000,45013,0.00,100.00,Police Station,45013.00,CBECS - Fire Station/Police Station,Police Station,1311792.00,"$164,496.58",837.21,11311.00,$3.47,6.7%,38.96,-77.03
246,Bundy Center,429 O STREET NW,40000.00,Office,75.00,Washington,US,DC,1000,40000,1.00,100.00,Office,40000.00,CBECS - Office & Bank/Financial,Office,518608.69,"$72,696.42",372.70,12340.04,$1.82,16.53%,,
247,Engine Company #20,4300 WISCONSIN AVENUE NW,13044.00,Fire Station,154.00,Washington,US,DC,1913,13472,1.00,100.00,Other - Public Services,13472.00,CBECS - Fire Station/Police Station,Fire Station,239665.43,"$39,661.02",205.26,11930.35,$3.04,29.3%,,
248,Cleveland Park Library,3310 CONNECTICUT AVENUE NW,21318.00,Library,48.00,Washington,US,DC,1954,21318,1.00,0.00,Library,21318.00,CBECS - Library,Library,151879.00,"$22,628.16",116.43,4988.00,$1.06,21.47%,,
249,Chevy Chase Library,5625 CONNECTICUT AVENUE NW,24618.00,Library,106.00,Washington,US,DC,1000,24618,1.00,100.00,Library,24618.00,CBECS - Library,Library,381472.86,"$57,417.79",295.62,13126.76,$2.33,22.27%,38.96,-77.08
25,Mary's Place & Bridges Charter School,100 GALLATIN STREET NE,45800.00,K-12 School,92.00,Washington,US,DC,2016,45800,1.00,0.00,K-12 School,45800.00,CBECS - Elementary/Middle & High School,K-12 School,372251.00,"$71,987.35",375.34,29193.00,$1.57,39.5%,,
250,Marie Reed Elementary School and Recreation Center,2200 CHAMPLAIN STREET NW,162700.00,K-12 School,70.00,Washington,US,DC,1977,162700,1.00,0.00,K-12 School,162700.00,CBECS - Elementary/Middle & High School,K-12 School,2322496.00,"$304,941.54",1556.86,34096.00,$1.87,10.89%,38.92,-77.04
251,Hart Middle School,601 MISSISSIPPI AVENUE SE,170000.00,K-12 School,65.00,Washington,US,DC,1956,210700,1.00,100.00,K-12 School,210700.00,CBECS - Elementary/Middle & High School,K-12 School,1441339.39,"$228,503.69",1179.88,61465.07,$1.34,26.2%,38.84,-77.00
252,Bunker Hill Elementary School,1401 MICHIGAN AVENUE NE,69400.00,K-12 School,106.00,Washington,US,DC,1911,69400,0.00,100.00,K-12 School,69400.00,CBECS - Elementary/Middle & High School,K-12 School,852136.42,"$143,331.69",742.40,44796.44,$2.07,30.44%,,
253,3rd District Headquarters,1620 V STREET NW,46007.00,Police Station,87.00,Washington,US,DC,1950,46007,1.00,100.00,Other - Public Services,46007.00,CBECS - Fire Station/Police Station,Police Station,710405.71,"$98,329.29",503.72,15617.89,$2.14,15.47%,38.92,-77.04
254,Engine Company #9,1617 U STREET NW,10151.00,Fire Station,104.00,Washington,US,DC,1966,10476,1.00,100.00,Other - Public Services,10476.00,CBECS - Other,Other - Public Services,148384.80,"$22,714.36",117.06,5496.24,$2.24,23.57%,,
255,Franklin D. Reeves Center,2000 14TH STREET NW,474680.00,Office,56.00,Washington,US,DC,1986,309502,1.00,100.00,Office,309502.00,CBECS - Office & Bank/Financial,Office,7817314.65,"$914,625.81",4631.76,0.00,$1.93,,38.92,-77.03
256,Harrison Recreation Center,1330 V STREET NW,1102.00,Other - Recreation,193.00,,,,,,,,,,,,34117.00,"$4,926.73",25.30,960.00,$4.47,18.98%,38.92,-77.03
257,Engine Company #24,5101 GEORGIA AVENUE NW,21600.00,Fire Station,80.00,,,,,,,,,,,,276582.00,"$40,047.88",205.72,7893.00,$1.85,19.2%,,
258,New York Avenue Men’s Emergency Shelter,1355 NEW YORK AVENUE NE,31283.00,Other - Lodging/Residential,103.00,Washington,US,DC,1935,30900,1.00,100.00,Other - Lodging/Residential,30900.00,CBECS - Lodging,Other - Lodging/Residential,491254.72,"$72,608.39",373.44,15535.51,$2.32,20.84%,,
259,Engine Company #1,2225 M STREET NW,15775.00,Fire Station,20.00,,,,,,,,,,,,90419.00,"$10,579.02",53.57,0.00,$0.67,,,
26,North Michigan Park Recreation Center,1333 EMERSON STREET NE,15950.00,Other - Recreation,85.00,,,,,,,,,,,,204714.56,"$30,317.83",155.95,6536.17,$1.90,21.0%,,
260,5th District Headquarters,1805 BLADENSBURG ROAD NE,43955.00,Police Station,100.00,Washington,US,DC,1978,43955,1.00,100.00,Other - Public Services,43955.00,CBECS - Other,Other - Public Services,840156.97,"$113,323.39",579.58,15426.10,$2.58,13.26%,38.92,-76.97
261,Fire Department Property Management Office,3180 V STREET NE,30000.00,Office,70.00,Washington,US,DC,1000,0,1.00,100.00,Office,0.00,,,145744.75,"$32,716.20",171.62,16082.20,$1.09,47.88%,,
262,Takoma Education Campus,7010 PINEY BRANCH ROAD NW,104294.00,K-12 School,46.00,Washington,US,DC,1976,117050,1.00,100.00,K-12 School,117050.00,CBECS - Elementary/Middle & High School,K-12 School,1400983.86,"$163,915.11",830.08,0.00,$1.57,,,
263,Cardozo Education Campus,1200 CLIFTON STREET NW,394000.00,K-12 School,52.00,Washington,US,DC,2013,394000,1.00,100.00,K-12 School,394000.00,CBECS - Elementary/Middle & High School,K-12 School,4535006.22,"$578,806.26",2949.43,49497.47,$1.47,8.33%,38.92,-77.03
264,West End Library,1101 24TH STREET NW,20700.00,Other - Public Services,79.00,,,,,,,,,,,,170385.00,"$30,181.53",156.73,10520.00,$1.46,33.95%,,
265,Anacostia High School,1601 16TH STREET SE,207000.00,K-12 School,74.00,Washington,US,DC,1935,247900,1.00,100.00,K-12 School,247900.00,CBECS - Elementary/Middle & High School,K-12 School,2579663.09,"$364,325.70",1868.70,64173.63,$1.76,17.16%,38.87,-76.98
266,Petworth Library,4200 KANSAS AVENUE NW,18000.00,Library,104.00,,,,,,,,,,,,492337.95,"$59,488.67",301.97,1935.45,$3.30,3.17%,,
267,Benning Library,3935 BENNING ROAD NE,22000.00,Library,145.00,Washington,US,DC,2007,22000,1.00,100.00,Library,22000.00,CBECS - Library,Library,932428.00,"$109,094.08",552.46,0.00,$4.96,,38.89,-76.95
268,Watha T Daniels Library,1630 7TH STREET NW,22000.00,Library,161.00,Washingon,US,DC,2010,22800,1.00,100.00,Library,22800.00,CBECS - Library,Library,1016226.81,"$119,703.94",606.50,826.90,$5.44,0.67%,,
269,Wheatley Education Campus,1299 NEAL STREET NE,86375.00,K-12 School,72.00,Washington,US,DC,1903,87200,1.00,100.00,K-12 School,87200.00,CBECS - Elementary/Middle & High School,K-12 School,1496340.72,"$185,627.94",944.04,10837.86,$2.15,5.69%,,
27,Fleet Fueling Facility - Truck Wash,4902 BATES ROAD NE,,Other - Public Services,,,,,,,,,,,,,65437.91,"$7,656.24",38.77,0.00,,,,
270,Whittier Education Campus,6201 5TH STREET NW,66600.00,K-12 School,67.00,Washington,US,DC,1959,66600,1.00,100.00,K-12 School,66600.00,CBECS - Elementary/Middle & High School,K-12 School,463058.04,"$82,357.97",427.76,28932.42,$1.24,34.22%,,
271,Truesdell Education Campus,800 INGRAHAM STREET NW,69600.00,K-12 School,80.00,Washington,US,DC,1908,69600,1.00,100.00,K-12 School,69600.00,CBECS - Elementary/Middle & High School,K-12 School,859155.37,"$126,140.04",648.51,26302.73,$1.81,20.31%,,
272,Stoddert Elementary School,4001 CALVERT STREET NW,64750.00,K-12 School,72.00,Washington,US,DC,1932,67450,1.00,100.00,K-12 School,67450.00,CBECS - Elementary/Middle & High School,K-12 School,1313765.36,"$155,210.74",786.57,1540.24,$2.40,0.97%,38.92,-77.08
273,Somerset Prep D.C. Public Charter School,3301 WHEELER ROAD SE,112000.00,K-12 School,62.00,Washington,US,DC,1000,112000,1.00,100.00,K-12 School,112000.00,CBECS - Elementary/Middle & High School,K-12 School,1301980.00,"$176,185.89",901.27,24491.00,$1.57,13.54%,38.84,-76.99
274,Janney Elementary School,4130 ALBEMARLE STREET NW,85039.00,K-12 School,94.00,Washington,US,DC,1925,85039,0.00,100.00,K-12 School,85039.00,CBECS - Elementary/Middle & High School,K-12 School,1730331.14,"$222,724.56",1135.59,20817.06,$2.62,9.1%,,
275,J.O. Wilson Elementary School,660 K STREET NE,98900.00,K-12 School,94.00,Washington,US,DC,1961,98900,1.00,100.00,K-12 School,98900.00,CBECS - Elementary/Middle & High School,K-12 School,1411106.86,"$209,128.76",1075.76,45204.58,$2.11,21.05%,,
276,Tubman Elementary,3101 13TH STREET NW,66600.00,K-12 School,73.00,Washington,US,DC,1970,66600,1.00,100.00,K-12 School,66600.00,CBECS - Elementary/Middle & High School,K-12 School,755586.29,"$110,530.97",568.14,22718.04,$1.66,20.02%,,
277,Ferebee-Hope Recreation Center,3999 8TH STREET SE,193800.00,K-12 School,49.00,Washington,US,DC,1000,193800,1.00,50.00,K-12 School,193800.00,CBECS - Recreation,Fitness Center/Health Club/Gym,1653930.62,"$231,047.02",1184.29,38539.16,$1.19,16.25%,38.83,-77.00
278,Dunbar High School,101 N STREET NW,283000.00,K-12 School,50.00,Washington,US,DC,2014,252384,1.00,100.00,K-12 School,252384.00,CBECS - Elementary/Middle & High School,K-12 School,3772127.72,"$454,967.35",2309.17,13992.20,$1.61,3.0%,38.91,-77.01
279,Drew Elementary School,5600 EADS STREET NE,72800.00,K-12 School,71.00,Washington,US,DC,1959,72800,1.00,100.00,K-12 School,72800.00,CBECS - Elementary/Middle & High School,K-12 School,666812.40,"$106,242.11",548.73,28978.50,$1.46,26.57%,,
28,Taft Recreation Center,1800 PERRY STREET NE,194300.00,Other - Recreation,0.00,Washington,US,DC,1900,194300,1.00,100.00,Other - Recreation,194300.00,CBECS - Recreation,Other - Recreation,10512.07,"$1,229.91",6.23,0.00,$0.01,,,
280,Burrville Elementary School,801 DIVISION AVENUE NE,95000.00,K-12 School,44.00,Washington,US,DC,1976,95000,1.00,100.00,K-12 School,95000.00,CBECS - Elementary/Middle & High School,K-12 School,801955.79,"$108,208.29",553.43,14763.31,$1.14,13.29%,38.90,-76.92
281,Brent Elementary School,301 NORTH CAROLINA AVENUE SE,47500.00,K-12 School,53.00,Washington,US,DC,1968,49702,1.00,100.00,K-12 School,49702.00,CBECS - Elementary/Middle & High School,K-12 School,516530.77,"$67,638.08",345.26,7396.28,$1.42,10.65%,38.88,-77.00
282,Georgetown Library,3260 R STREET NW,16200.00,Library,158.00,,,,,,,,,,,,521698.00,"$68,691.51",350.76,7857.13,$4.24,11.14%,,
283,Engine Company #23,2119 G STREET NW,7732.00,Fire Station,98.00,,,,,,,,,,,,115940.45,"$17,056.86",87.70,3585.04,$2.21,20.47%,,
284,Engine Company #27,4201 MINNESOTA AVENUE NE,8388.00,Fire Station,102.00,,,,,,,,,,,,115175.80,"$17,949.38",92.60,4593.24,$2.14,24.92%,,
285,Lamond Recreation Center,20 TUCKERMAN STREET NE,14842.00,Other - Recreation,73.00,,,,,,,,,,,,233517.49,"$30,180.91",153.92,2935.69,$2.03,9.47%,,
286,Woodrow Wilson High School,3950 CHESAPEAKE STREET NW,376507.00,K-12 School,48.00,Washington,US,DC,2011,357563,1.00,100.00,K-12 School,357563.00,CBECS - Elementary/Middle & High School,K-12 School,3012166.35,"$429,872.46",2206.30,79516.42,$1.14,18.02%,38.95,-77.08
288,Deanwood Recreation Center,1350 49TH STREET NE,63000.00,Other - Recreation,101.00,Washington,US,DC,1000,63000,1.00,100.00,Other - Recreation,63000.00,CBECS - Recreation,Other - Recreation,1012193.35,"$146,902.63",754.73,29236.15,$2.33,19.38%,38.91,-76.93
289,Engine Company #16,1018 13TH STREET NW,24659.00,Fire Station,58.00,Washington,US,DC,1932,25032,1.00,100.00,Other - Public Services,25032.00,CBECS - Fire Station/Police Station,Fire Station,417670.71,"$48,867.47",247.47,0.00,$1.98,,,
29,Department of Human Services #2,920 RHODE ISLAND AVENUE NE,8637.00,Office,192.00,Washington,US,DC,1000,8637,1.00,100.00,Office,0.00,,,486045.89,"$56,867.37",287.98,0.00,$6.58,,,
290,Savoy Elementary School,2400 SHANNON PLACE SE,99975.00,K-12 School,73.00,Washington,US,DC,1968,99975,1.00,100.00,K-12 School,99975.00,CBECS - Elementary/Middle & High School,K-12 School,978029.40,"$152,899.47",788.90,39496.95,$1.53,25.16%,38.86,-76.99
291,School Without Walls High School,2130 G STREET NW,66404.00,K-12 School,62.00,Washington,US,DC,1882,66404,1.00,100.00,K-12 School,66404.00,CBECS - Elementary/Middle & High School,K-12 School,867605.06,"$113,053.88",576.90,11852.25,$1.70,10.21%,,
292,Thomas Elementary School,650 ANACOSTIA AVENUE NE,87600.00,K-12 School,60.00,Washington,US,DC,1946,87600,1.00,100.00,K-12 School,87600.00,CBECS - Elementary/Middle & High School,K-12 School,615413.37,"$102,510.99",530.70,31322.00,$1.17,29.76%,38.90,-76.95
293,Orphan Electricity Interval Accounts,Orphan Electricity Interval Accounts,,Other,,,,,,,,,,,,,,,,,,,38.91,-77.04
294,Fort Totten Transfer Station,4900 BATES STREET NE,31926.00,Repair Services,80.00,Washington,US,DC,1000,31926,1.00,100.00,Other,31926.00,CBECS - Other,Other,748085.60,"$87,526.02",443.24,0.00,$2.74,,,
295,Narcotics Special Investigation Division,1215 3RD STREET NE,22830.00,Police Station,57.00,,,,,,,,,,,,308988.00,"$38,518.42",195.96,2430.00,$1.69,6.14%,,
296,Bridge and Street Mainenance Division - W Street,1403 W STREET NE,6010.00,Other - Public Services,195.00,,,,,,,,,,,,343468.04,"$40,185.76",203.50,0.00,$6.69,,38.92,-76.98
297,Lamont Street Park Playground,1675T LAMONT STREET NW,,Other - Recreation,,,,,,,,,,,,,3542.28,$414.45,2.10,0.00,,,,
298,Rhode Island Tower,1700 RHODE ISLAND AVENUE NE,10762.00,Other,40.00,,,,,,,,,,,,124908.96,"$14,615.32",74.01,1.00,$1.36,0.01%,,
299,SWMA Warehouse - Maintenance Facility #3 -B,1725 15TH STREET NE,112536.00,Non-Refrigerated Warehouse,66.00,Washington,US,DC,1000,125000,1.00,100.00,Non-Refrigerated Warehouse,102978.10,CBECS - Unrefrigerated Warehouse & Distribution Center,Non-Refrigerated Warehouse,1369427.25,"$187,217.19",958.33,27714.79,$1.66,14.42%,,
3,Impound Lot #1 & Fleet Fueling Site,500 WATER STREET SW,,Other - Public Services,,,,,,,,,,,,,28.00,$3.28,0.02,0.00,,,,
30,Noyes Elementary School,2725 10TH STREET NE,51500.00,K-12 School,101.00,Washington,US,DC,1931,51500,1.00,100.00,K-12 School,51500.00,CBECS - Elementary/Middle & High School,K-12 School,911328.00,"$126,859.25",650.11,20774.00,$2.46,15.95%,,
300,SWMA Warehouse - Maintenance Facility #3,201 BRYANT STREET NW,51622.00,Non-Refrigerated Warehouse,95.00,Washington,US,DC,1975,51622,1.00,100.00,Other,51622.00,CBECS - Other,Other,611949.81,"$99,166.04",512.65,28303.81,$1.92,27.8%,,
301,Capitol Hill Montessori @ Logan Ancillary Building,201 G STREET (REAR) NE,,Other - Public Services,,,,,,,,,,,,,93172.98,"$10,901.24",55.20,0.00,,,,
302,Walter Pierce Park,2634 ADAMS MILL ROAD (AT ONTARIO ROAD) NE,,Other - Recreation,,,,,,,,,,,,,42123.57,"$4,928.46",24.96,0.00,,,,
303,Impound Lot #3,3500 ANACOSTIA AVENUE SW,,Parking,,,,,,,,,,,,,277668.58,"$32,487.22",164.52,0.00,,,,
304,Network Operations Center,3919 BENNING ROAD NE,34400.00,Other,323.00,Washington,US,DC,1000,34400,1.00,100.00,Office,34400.00,CBECS - Office & Bank/Financial,Office,3235623.40,"$379,281.83",1920.99,732.95,$11.03,0.19%,,
305,Patrol Service Security Bureau,4020 8TH STREET NW,61151.00,K-12 School,75.00,Washington,US,DC,1000,0,1.00,100.00,K-12 School,0.00,,,550834.86,"$90,973.00",470.76,27233.39,$1.49,29.16%,,
306,Canine Center,4667 BLUE PLAINS DRIVE SW,112283.00,Other,3.00,,,,,,,,,,,,113420.83,"$13,270.24",67.20,0.00,$0.12,,38.82,-77.01
307,Fire Boat,550 WATER STREET SW,10578.00,Other,247.00,,,,,,,,,,,,449260.66,"$63,070.29",323.38,10787.26,$5.96,16.66%,,
308,Multi Service Center,555 L STREET SE,4581.00,Other - Public Services,75.00,,,,,,,,,,,,101253.83,"$11,846.70",59.99,0.00,$2.59,,,
